State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	
498000	-5211.63	0.948008	0.0167172	0.00119671	0.016092	0.00911212	0.0033858	0.0054877	0.0305047	0.808013	0.0170098	0.126457	0.00674597	0.00190587	0.00936356	0.0193287	0.0289561	0.866045	0.00223861	0.0070718	0.0217991	0.0545603	0.0547142	0.0805712	0.161655	0.687375	0.0132682	0.000698101	0.00171819	0.20245	0.0618206	0.00620447	0.00286057	0.670504	0.0200645	0.0360955	0.0359466	0.0300233	0.126068	0.0104192	0.0483739	0.683294	0.0658755	0.020325	0.0817486	0.15608	0.0458637	0.018536	0.00201118	0.675436	
500000	-5222.14	0.920973	0.0294424	0.0157263	0.00185612	0.00882772	0.0146537	0.00852068	0.00280396	0.778462	0.000777786	0.19275	0.0128431	0.00393162	0.00843107	0.0074559	0.0735233	0.859718	0.00118275	0.0070718	0.0167425	0.0343057	0.0296334	0.117635	0.123651	0.701986	0.00934376	0.00403491	0.0137163	0.168702	0.0173754	0.0194491	0.00372483	0.745624	0.0233054	0.0218194	0.0486249	0.103952	0.0665982	0.0162385	0.059764	0.679552	0.0252708	0.0287592	0.0469549	0.208025	0.0196389	0.00177013	0.0183721	0.676479	
502000	-5202.61	0.874186	0.0210487	0.0436093	0.0114568	0.040915	0.00150604	0.00727777	0.00937563	0.733133	0.0169234	0.226476	0.00382368	0.000620253	0.00964755	0.00472698	0.0204306	0.899239	0.0239558	0.0144733	0.0167425	0.020432	0.0316666	0.0728631	0.167985	0.678328	0.0377422	0.00379835	0.00761738	0.157774	0.0457138	0.017631	0.00676661	0.710527	0.00978177	0.0518064	0.0293727	0.0919018	0.126007	0.0350108	0.000274365	0.681621	0.0358119	0.0046658	0.12206	0.161327	0.0152636	0.0154535	0.0106042	0.670626	
504000	-5241.77	0.88101	0.0244489	0.0503842	0.0142722	0.0044226	0.0122021	0.0132596	0.0200493	0.712992	0.0337762	0.159774	0.0215659	0.0488912	0.00295143	0.00472698	0.0580903	0.862556	0.020816	0.00161841	0.0245607	0.0276317	0.0566011	0.0649893	0.143692	0.691269	0.017311	0.0178395	0.00829867	0.152228	0.0587089	0.0611392	0.0124008	0.678999	0.0176608	0.0188634	0.00860708	0.0210904	0.175004	0.0372364	0.00788435	0.71927	0.030908	0.00247975	0.119852	0.101505	0.0437084	0.0391195	0.00198939	0.691346	
506000	-5238.18	0.911836	0.0114721	0.0272787	0.00475214	0.0167683	0.0131135	0.0147791	0.000307873	0.844275	0.0105596	0.0773408	0.0197117	0.0132216	0.0345834	0.0426563	0.0212991	0.874587	0.00515038	4.22495e-005	0.0106081	0.045657	0.0479851	0.0907	0.125388	0.701219	0.0130465	0.000821942	0.0208396	0.111335	0.114538	0.00637017	0.00142745	0.695492	0.0190317	0.0518049	0.0285116	0.0123226	0.172256	0.0255209	0.023293	0.702027	0.0360688	0.000510258	0.0923398	0.122708	0.0373415	0.00676672	0.0290948	0.711239	
508000	-5264.07	0.950299	0.0196334	0.003778	0.003561	0.00128381	0.0172912	0.00415383	0.0487773	0.828293	0.0271329	0.0721711	0.0130354	0.0047644	0.00582551	0.00186023	0.0169158	0.838791	0.0467225	0.0292686	0.012886	0.0535557	0.0347788	0.114189	0.108868	0.722335	0.00342589	0.000472465	0.0159308	0.18323	0.0397359	0.0076514	0.00722826	0.700821	0.0230969	0.0382372	0.0520879	0.00561366	0.104211	0.0489965	0.0451939	0.695774	0.0481229	0.0117153	0.0557374	0.137515	0.0281421	0.02086	0.073845	0.672186	
510000	-5233.12	0.94808	0.0155094	0.00703224	0.0206743	0.00307562	0.00484402	0.000784062	0.00788704	0.832143	0.00791443	0.141426	0.00609714	0.00371206	0.000820596	0.00896293	0.0131144	0.887324	0.0523479	0.00529304	0.00082887	0.0321284	0.0411896	0.113018	0.121892	0.707023	0.000319796	0.00401704	0.0125405	0.213082	0.0329853	0.00745532	0.0101789	0.682131	0.0395131	0.0146546	0.00340516	0.0855833	0.0854341	0.0437759	0.0378668	0.690836	0.0530991	0.0001389	0.078934	0.184201	0.0167425	0.0179423	0.0187656	0.683276	
512000	-5201.3	0.961917	0.00105269	0.00299782	0.0108447	0.00428768	0.0037977	0.0151019	0.00156664	0.775269	0.00272901	0.160907	0.0211951	0.0163427	0.0219899	0.00325037	0.0560289	0.888667	0.0122537	0.0154737	0.00064475	0.0236814	0.0351024	0.0927367	0.144135	0.686863	0.0159968	0.0158584	0.00930798	0.236158	0.00617262	0.0294153	0.0185991	0.670476	0.0351203	0.00405802	0.015723	0.0604786	0.108824	0.0503068	0.0237338	0.722908	0.0180257	0.000662505	0.0854572	0.175125	0.00826665	0.0198225	0.00457229	0.706094	
514000	-5199.12	0.920111	0.0351531	0.00376973	0.0225529	0.00297622	0.00549946	0.00993717	0.00616443	0.754331	0.01528	0.197694	0.0188331	0.00586472	0.00183239	0.0116842	0.0678591	0.778828	0.0468165	0.0156287	0.0487161	0.0304677	0.0512347	0.0807185	0.125056	0.682182	0.00635269	0.029783	0.0246725	0.23685	0.0154631	0.0103096	0.00480992	0.67255	0.0369757	0.0230411	0.0224657	0.00909488	0.166404	0.0179335	0.0875832	0.687621	0.00889819	0.0100143	0.0678586	0.167834	0.0582784	0.0247892	0.00365403	0.667572	
516000	-5209.22	0.950412	0.00404635	0.00115309	0.00493389	0.0120363	0.0246377	0.00278029	0.0162574	0.77663	0.0146815	0.136876	0.000296007	0.0494183	0.00584064	0.0152233	0.0173557	0.824764	0.0669667	0.00257098	0.0106589	0.0624602	0.0514773	0.111671	0.117442	0.683539	0.0210192	0.0080446	0.00680667	0.163772	0.0250494	0.0382314	0.014412	0.717438	0.0172692	0.0238279	0.0159314	0.113079	0.163971	0.00208602	0.00131488	0.687374	0.0162441	0.00194023	0.106305	0.134843	0.0487226	0.000688631	0.0109128	0.696588	
518000	-5207.75	0.949104	0.00717836	8.08151e-005	0.00080554	0.0156125	0.0244382	0.00278029	0.0238424	0.743063	0.00675801	0.175638	0.0461344	0.000476555	0.0040881	0.0161178	0.0214268	0.800436	0.0331995	0.0250683	0.0154551	0.0882969	0.0581568	0.123841	0.123659	0.687557	0.00024066	0.00194484	0.00460066	0.207871	0.0624579	0.0198189	0.00136723	0.674857	0.032582	0.00104682	0.0530109	0.0274814	0.192826	0.0178921	0.0291108	0.679122	0.000556819	0.0387979	0.0957706	0.126536	0.00509931	0.0219719	0.0103084	0.701515	
520000	-5194.48	0.881759	0.0203525	8.08151e-005	0.0124803	0.0412192	0.0260145	0.0180937	0.0073312	0.820217	0.039679	0.0514702	0.00288198	0.0085621	0.0698583	0.0154116	0.038225	0.844673	0.0504462	0.0106233	0.00529327	0.0353273	0.0424872	0.115088	0.140393	0.685262	0.00226217	0.00589666	0.00861106	0.193176	0.0612453	0.0169665	0.00767562	0.669179	0.0504177	0.00134095	0.0100226	0.11012	0.138917	0.0233681	0.00399856	0.68825	0.0253245	0.0160684	0.148195	0.125118	0.00819114	0.0225137	0.00924384	0.67067	
522000	-5228.78	0.926073	0.0132381	0.00516677	0.00592216	0.024351	0.00242715	0.0228223	0.00531702	0.828297	0.00334754	0.117562	0.0171426	0.0147625	0.0135711	0.0289262	0.0217694	0.875863	0.00174973	0.0190011	0.0259018	0.0267886	0.0341929	0.0964023	0.159234	0.68833	0.00561042	0.0119202	0.00430962	0.232935	0.00789428	0.00868766	0.0395019	0.672486	0.012274	0.0262209	0.0609214	0.0879028	0.0307452	0.140753	0.0079914	0.667239	0.00444688	0.0434346	0.108253	0.109027	0.00462122	0.0271254	0.0310528	0.676486	
524000	-5214.24	0.878897	0.043531	0.0149314	0.00592216	0.0419306	0.00359202	0.011196	0.00443089	0.794966	0.0128431	0.105276	0.0168934	0.00453876	0.0610519	0.00443929	0.0350202	0.888176	0.0254279	0.000388697	0.0222487	0.0242992	0.0350637	0.115796	0.175158	0.672146	0.000374325	0.000571503	0.000890042	0.202997	0.0300938	0.0107002	0.00758205	0.690564	0.0459577	0.0121051	0.00762949	0.146929	0.0377544	0.122952	0.00673767	0.674774	0.00322355	0.000373574	0.0686566	0.163805	0.0100838	0.0164321	0.0103663	0.730282	
526000	-5239.88	0.889511	0.0287137	0.00856498	0.00181465	0.00455739	0.0611617	0.00567687	0.000943958	0.818146	0.00394263	0.147252	0.00346082	0.0101336	0.0161209	0.0206057	0.0587064	0.839944	0.0159394	0.0101411	0.0202306	0.034433	0.0511465	0.114667	0.13259	0.684521	0.010375	0.00554247	0.00115789	0.234112	0.0345661	0.0369832	0.00298367	0.678168	0.00674206	0.00644452	0.10221	0.0400003	0.0831115	0.0223303	0.0615152	0.670413	0.0204199	0.00266105	0.118302	0.0607744	0.0651382	0.0184918	0.0153859	0.719247	
528000	-5224.67	0.915401	0.0147565	0.0310904	0.0152447	0.0118486	0.00108362	0.0105747	0.00491336	0.873838	0.0311641	0.0663448	0.0161658	0.00160034	0.00597379	0.0133903	0.0241971	0.908763	0.00389733	0.00660254	0.0072086	0.0359413	0.0552589	0.0957138	0.143859	0.692171	0.00507563	0.00133433	0.00658694	0.210985	0.015048	0.00520013	0.016592	0.670874	0.062051	0.0192504	0.0366856	0.103559	0.0589948	0.023611	0.0292364	0.714608	0.0333054	0.00387213	0.0589011	0.146383	0.0720334	0.00326566	0.0045192	0.711026	
530000	-5252.05	0.917327	0.0458752	0.00115533	0.0242417	0.0046869	0.00388175	0.00283173	0.00376542	0.840481	0.00323504	0.102087	0.00269422	0.00912649	0.0386101	0.0211251	0.0160418	0.887417	0.00974822	0.00193474	0.0072086	0.0565242	0.0491319	0.131009	0.104265	0.704885	0.00380668	0.00665204	0.000250079	0.156686	0.0280994	0.0305385	0.039851	0.672653	0.0509467	0.0212254	0.0563247	0.0938336	0.0766256	0.0339165	0.00487411	0.709874	0.0245516	0.0114829	0.0875075	0.161098	0.0563979	0.00226243	0.0135388	0.667713	
532000	-5225.92	0.894514	0.0108668	0.0100106	0.0151536	0.00253685	0.041649	0.0252693	0.0165569	0.749506	0.0180894	0.166774	0.00191622	0.00352403	0.0436328	0.00677864	0.0135973	0.875419	0.00910475	0.000665001	0.012735	0.0817008	0.0408144	0.110114	0.1442	0.691015	0.00508053	0.00486236	0.00391349	0.153314	0.0889757	0.0251625	0.00619681	0.667399	0.0525053	0.00644724	0.0974812	0.0739501	0.0893444	0.0160962	0.0247869	0.66797	0.030371	0.0321968	0.0397548	0.215463	0.00442225	0.0128132	0.00633858	0.689012	
534000	-5220.27	0.955573	0.0140043	0.00542707	0.0042743	0.00253685	0.00509415	0.0130903	0.0289033	0.790696	0.002521	0.143245	0.00926498	0.0149171	0.0104522	0.00262686	0.0358693	0.913474	0.00209957	0.0104853	0.00988604	0.0255586	0.0524161	0.106104	0.129072	0.69106	0.00533946	0.00859882	0.00740973	0.1575	0.0400011	0.00102644	0.0122015	0.667214	0.117483	0.004574	0.0556377	0.0255947	0.155774	0.0390761	0.00046223	0.69164	0.0318153	0.000714944	0.0324201	0.131262	0.067035	0.0749445	0.0260355	0.667588	
536000	-5237.01	0.896186	0.00794078	0.0453626	0.0241343	0.00937344	0.00391204	0.0130903	0.0358168	0.794085	0.041856	0.120918	0.00163785	0.0054858	0.000200049	0.0167442	0.105378	0.814261	0.00220456	0.0191192	0.0127071	0.0295862	0.0275496	0.139937	0.121115	0.681336	0.00213308	0.0168643	0.0110653	0.209861	0.0451667	0.0195659	0.00635757	0.67692	0.0325695	0.00955914	0.0714093	0.0394272	0.114464	0.0840858	0.00605381	0.674375	0.0101841	0.00144395	0.0397173	0.183229	0.0432477	0.0202076	0.011756	0.700398	
538000	-5281.41	0.893463	0.0075053	0.0146813	0.00646148	0.039506	0.0152044	0.023179	0.0280083	0.726642	0.0415729	0.200003	0.00134072	0.000408971	0.00202433	0.0587003	0.0436768	0.846909	0.00114288	0.0243651	0.0009592	0.0242465	0.0364631	0.145281	0.10794	0.701432	0.0026384	0.00169853	0.00454633	0.230894	0.0206751	0.0201066	0.0211203	0.676182	0.018169	0.0128529	0.0627053	0.00686892	0.117672	0.0826042	0.0106269	0.708001	0.0115224	0.0363444	0.065954	0.170578	0.0286826	0.019518	0.00399894	0.674924	
540000	-5274.61	0.950469	0.0120241	0.00362422	0.00132436	0.00675885	0.0125401	0.0132596	0.0238047	0.833027	0.0263871	0.0939448	0.000492039	0.0116478	0.010697	0.0090514	0.0936186	0.839894	0.00114288	0.00534119	0.00208269	0.048869	0.0315725	0.104637	0.165951	0.692797	0.00116482	0.00104946	0.00282777	0.234832	0.0360238	0.00288551	0.0160814	0.693794	0.0146951	0.00168868	0.0616283	0.00344964	0.0906192	0.0383171	0.0538982	0.750548	0.00153928	0.0549262	0.0272945	0.166554	0.0262145	0.0243441	0.0271257	0.673541	
542000	-5256.33	0.875668	0.0353108	0.0036825	0.00567685	0.0212845	0.00659784	0.0517791	0.026898	0.806349	0.00737863	0.148269	0.00232152	0.00264526	0.00613838	0.0256398	0.114694	0.794581	0.00620196	1.67868e-005	0.0171758	0.0416909	0.056339	0.129023	0.12063	0.688439	0.00203345	0.00254225	0.000992347	0.22292	0.0288505	0.00855734	0.0189595	0.68601	0.00666415	0.0280381	0.0418068	0.0242042	0.117663	0.0386384	0.0212773	0.736421	0.0199897	0.00294868	0.129027	0.109483	0.0419428	0.0198788	0.0229759	0.673743	
544000	-5223.96	0.917475	0.00926494	0.0452168	0.0203684	0.000585995	0.00269346	0.00439531	0.0063276	0.784861	0.0570238	0.122902	0.0120954	0.0020615	0.0147293	0.00699623	0.133961	0.792937	0.0231556	0.00693549	0.00668051	0.0293342	0.0586141	0.0989427	0.116131	0.717491	0.00137307	0.00433692	0.0031108	0.153394	0.0578079	0.00102834	0.0180565	0.729714	0.0358495	0.0041496	0.0203959	0.0513421	0.11104	0.0296919	0.0268789	0.714076	0.0465753	0.0738627	0.129571	0.0878058	0.00799845	0.00505743	0.0088251	0.68688	
546000	-5271.67	0.795462	0.0288266	0.0581467	0.0363546	0.036754	0.040061	0.00439531	0.0324126	0.781052	0.0165714	0.13909	0.0214722	0.00409035	0.00531124	0.00475239	0.0899059	0.791027	0.0609862	0.00808329	0.017631	0.0276139	0.0774286	0.0538056	0.111168	0.711807	0.00889802	0.00883865	0.0280542	0.098039	0.0960894	0.037144	0.00862778	0.683272	0.0344633	0.0423644	0.139247	0.0734437	0.0174669	0.00321269	0.00341241	0.721161	0.0420564	0.0256799	0.0893297	0.112453	0.0320658	0.0361357	0.0308242	0.673512	
548000	-5226.67	0.864462	0.00777024	0.0298673	0.0507393	0.0118413	0.0317038	0.00361591	0.00200314	0.780417	0.0144862	0.174061	0.00453221	0.0208795	0.00362076	0.00580758	0.0448443	0.857317	0.00864445	0.0481969	0.00549602	0.0296934	0.0398548	0.156731	0.0970779	0.696638	0.00245022	0.00672015	0.000528558	0.184598	0.0133059	0.0235132	0.0774489	0.675137	0.0253631	0.000633553	0.0323599	0.0540686	0.12462	0.000102196	0.041008	0.720603	0.0272386	0.00360168	0.117705	0.157375	0.027558	0.0116052	0.0129605	0.669194	
550000	-5248.45	0.928365	0.000440404	0.0319451	0.0184277	0.00362614	0.0124356	0.00475979	0.0777924	0.749406	0.026582	0.128116	0.00790389	0.00279755	0.00740204	0.0529865	0.0272748	0.82174	0.00723065	0.0202007	0.0289275	0.0416403	0.0304296	0.121965	0.126387	0.696795	0.0185032	0.00391089	0.00201022	0.186793	0.0697287	0.00988919	0.0132495	0.684332	0.0175709	0.0184364	0.121962	0.0185992	0.0462828	0.023317	0.00551054	0.781926	0.00240228	0.0332071	0.166327	0.105683	0.00562822	0.0149421	0.00676958	0.667443	
552000	-5312.91	0.870028	0.00190467	0.0408468	0.0193999	0.0179222	0.0106644	0.0392344	0.0116239	0.735574	0.0846135	0.148567	0.00284896	0.0132976	0.00347457	0.0187232	0.0231955	0.88013	0.00920449	0.0166529	0.0166464	0.0354474	0.0389169	0.141282	0.102186	0.679217	0.0174578	0.00694605	0.0139948	0.226327	0.0124247	0.0453815	0.00383551	0.67148	0.0220463	0.0185047	0.0756053	0.00254038	0.118816	0.0686607	0.0211119	0.699229	0.0140362	0.0350246	0.0603509	0.134252	0.0408883	0.00999007	0.00508451	0.71441	
554000	-5216.59	0.878321	0.024502	0.00693237	0.00373136	0.0732928	0.00447521	0.00874499	0.0142918	0.774464	0.00709269	0.180642	0.000582683	0.0134991	0.00942797	0.030933	0.035856	0.836819	0.0298909	0.00291484	0.0165392	0.0470474	0.0486586	0.102991	0.128787	0.675639	0.0421144	0.00179191	1.71622e-005	0.238757	0.03098	0.0188856	0.0120066	0.674984	0.0225746	0.00181199	0.0508444	0.0790453	0.133572	0.0099248	0.00744224	0.705999	0.0131715	0.00290595	0.0653337	0.177712	0.0563391	0.0094107	0.00574881	0.68255	
556000	-5219.14	0.917763	0.0302399	0.0264366	0.00344968	0.0076792	0.00856913	0.00586282	0.00193796	0.812911	0.0390484	0.11687	0.0202958	0.000485264	0.00845114	0.0142784	0.018365	0.850454	0.00596273	0.00780075	0.00480092	0.098338	0.0331727	0.133293	0.124873	0.682677	0.00326317	0.0151355	0.00758461	0.220697	0.0608916	0.00765512	0.011371	0.683058	0.0115249	0.00480198	2.39641e-005	0.0349925	0.150514	0.0742579	0.0151869	0.689117	0.0359076	0.048555	0.0900103	0.154835	0.0160166	0.0182775	0.00385719	0.668449	
558000	-5215.79	0.917795	0.00269498	0.0252408	0.0158734	0.00928985	0.0195631	0.00954332	0.0134536	0.760618	0.00246376	0.179657	0.00730849	0.0309883	0.00551091	0.0086961	0.0332202	0.892433	0.000194464	0.00254366	0.018887	0.0440258	0.0337571	0.142028	0.1244	0.680381	0.00417681	0.00435389	0.0109028	0.202078	0.0392815	0.0151077	0.00464238	0.685711	0.03053	0.022649	0.0170813	0.0770397	0.122149	0.0458291	0.0141004	0.689704	0.0340967	0.0166747	0.106488	0.10983	0.0669277	0.00999873	0.0203724	0.669709	
560000	-5244.75	0.876921	0.00269498	0.0118001	0.00471064	0.0404585	0.0444452	0.0189695	0.038103	0.748448	0.00279712	0.193673	0.00902413	0.00201043	0.00594378	0.00440772	0.0675209	0.862751	0.000194464	0.0143587	0.0121647	0.0386023	0.0159117	0.157978	0.0956705	0.715913	0.0120337	0.00247611	1.69675e-005	0.222412	0.0623552	0.00237355	0.00868403	0.692114	0.0100963	0.0019652	0.0198475	0.0525885	0.0728665	0.0281428	0.00379237	0.761325	0.0614375	0.0149258	0.0815062	0.111254	0.0597454	0.0436204	0.00453466	0.684413	
562000	-5191.93	0.851384	0.0113247	0.0275174	0.0212594	0.0155605	0.0244714	0.048483	0.029088	0.726602	0.00136939	0.202359	0.0028064	0.0207137	0.0170617	0.00633115	0.075481	0.813232	0.0105411	0.0273204	0.00136786	0.0657268	0.0571298	0.12775	0.0725661	0.68978	0.015852	0.0321187	0.00480347	0.200338	0.0414651	0.00329867	0.0071536	0.701019	0.00841536	0.0383105	0.0195103	0.0755753	0.189437	0.000240992	0.00843014	0.706186	0.00062038	0.0129093	0.219271	0.0822694	0.011914	0.000432525	0.00610306	0.667101	
564000	-5223.38	0.851259	0.0866813	0.0248488	0.0154131	0.000689703	0.00758911	0.0135195	0.00731639	0.831596	0.00233461	0.111795	0.0326339	0.00739003	0.00693481	0.00583135	0.0809025	0.823829	0.00559285	0.00206798	0.019865	0.0619112	0.081122	0.111762	0.101355	0.676298	0.00177409	0.0226059	0.00508241	0.175276	0.0160563	0.0242218	0.0426036	0.670759	0.0328314	0.0382521	0.0583539	0.00354435	0.110457	0.0164391	0.0125298	0.777783	0.0208927	0.0585673	0.127216	0.0992066	0.011093	0.00815638	0.0246429	0.671118	
566000	-5223.18	0.925698	0.0225462	0.00198364	0.013017	0.00374495	0.00386448	0.0291461	0.000877325	0.814239	0.00791739	0.116551	0.0245239	0.0019693	0.0339221	0.00353158	0.0308771	0.884924	0.00136255	0.00773546	0.0108002	0.0607695	0.0414909	0.159267	0.0665049	0.696758	0.0018683	0.0253902	0.0087211	0.181053	0.0329596	0.104017	0.00239419	0.67011	0.00700082	0.00246574	0.00968387	0.0539294	0.167683	0.0373271	0.00834667	0.694638	0.0283924	0.0571079	0.0798769	0.0385336	0.0808339	0.0236205	0.0498668	0.670161	
568000	-5243.95	0.936627	0.0045236	0.00818709	0.00485272	0.0130524	0.0150929	0.017664	0.0132107	0.845771	0.0091262	0.0928846	0.00311517	0.00126592	0.0346259	0.0254363	0.0341084	0.838822	0.00485482	0.0143343	0.0248947	0.057549	0.0241585	0.0936338	0.117927	0.70162	0.0306135	0.0103001	0.0217473	0.211665	0.0518259	0.00544631	0.0304026	0.667773	0.0279863	0.00490048	0.0252809	0.0646111	0.0767579	0.00321411	0.0389411	0.741549	0.0496462	0.000869774	0.0938366	0.11139	0.0673979	0.0162499	0.0275431	0.682713	
570000	-5228.01	0.90572	0.029593	0.0235451	0.0182406	0.000645523	0.0160183	0.00623764	0.0393875	0.845917	0.0203556	0.0761149	0.0130604	0.00126592	0.0038986	0.0104574	0.0240466	0.867437	0.0325043	0.00295246	0.0114679	0.0511339	0.0324551	0.153827	0.103144	0.693037	0.00664276	6.39972e-006	0.010888	0.232759	0.0440665	0.0220614	0.00439785	0.669099	0.00471766	0.0228982	0.103143	0.108888	0.0491546	0.0107791	0.0311713	0.68764	0.00922399	0.0282279	0.190191	0.0754612	0.00591309	0.0159324	0.00252015	0.681754	
572000	-5207.14	0.919705	0.0024891	0.00876075	0.00304363	0.00864482	0.0162265	0.0411306	0.0330753	0.845816	0.0155926	0.0416015	0.00672418	0.0106084	0.0465817	0.0201494	0.0749639	0.792023	0.0297222	0.000653905	0.0249754	0.0575121	0.0318224	0.151624	0.0875037	0.709546	0.0105214	0.00231971	0.00666263	0.228594	0.0264548	0.0128328	0.00381411	0.683026	0.0403913	0.00488691	0.0168195	0.149094	0.0731791	0.0603389	0.0082541	0.681177	0.0111368	0.0347986	0.174232	0.0613562	0.00242949	0.0331938	0.00919508	0.684795	
574000	-5258.37	0.850147	0.00599838	0.0586592	0.0130852	0.033459	0.0340973	0.00455356	0.0158637	0.8317	0.0257272	0.100877	0.00954079	0.012179	0.00411256	0.0230146	0.0589561	0.776792	0.039383	0.00283633	0.0161019	0.0829164	0.0303977	0.152465	0.0787777	0.704789	0.00433393	0.0113602	0.0178767	0.201991	0.0213077	0.00513912	0.0093646	0.699652	0.0456445	0.0169006	0.00818667	0.251762	0.0214702	0.0224711	0.0139087	0.680796	0.00140568	0.00503314	0.219106	0.0666353	0.010596	0.00874179	0.0134473	0.676441	
576000	-5271.84	0.892437	0.0384824	0.0304616	0.00657684	0.0141377	0.0152537	0.00265125	0.00195875	0.880581	0.00590852	0.0986652	0.00827248	0.00353689	0.00107698	0.00366654	0.071391	0.848979	0.0256471	0.00277392	0.0114468	0.0360955	0.0277225	0.18848	0.0704616	0.695117	0.0103291	0.000622215	0.00726801	0.207895	0.0620561	0.00186959	0.010621	0.677494	0.0240175	0.0160473	0.0354408	0.150517	0.00819912	0.0859866	0.00530987	0.712227	0.0023191	0.00238244	0.198587	0.0736613	0.00416504	0.0393132	0.0126614	0.66923	
578000	-5235.87	0.926326	0.0344536	0.0181837	0.00168159	0.00731948	0.0106138	0.00142158	0.0314234	0.84538	0.0171017	0.101044	0.000776144	0.00292107	0.00135409	0.0226401	0.0707378	0.822207	0.0029181	0.014864	0.0206048	0.046028	0.037952	0.213123	0.0689645	0.670931	0.00181019	0.00177481	0.00544401	0.213915	0.0560122	0.00186841	0.00836559	0.667714	0.0320727	0.0200525	0.0252141	0.16006	0.0145984	0.00569376	0.0383951	0.674598	0.0814414	0.033228	0.194205	0.034559	0.0385543	0.00634157	0.0102837	0.682828	
580000	-5227.27	0.919156	0.00071416	1.35775e-005	0.00429211	0.0354952	0.0263197	0.0140093	0.0613237	0.782888	0.00480457	0.108559	0.0042985	0.0130438	0.0250829	0.00640502	0.0633434	0.812699	0.0423727	0.0147518	0.0363993	0.0240289	0.0104469	0.204602	0.0606812	0.682324	0.0013893	0.0359655	0.00459035	0.208087	0.0387139	0.0105538	0.000956358	0.676633	0.0636686	0.00138695	0.0978316	0.139961	0.0357341	0.0537092	0.000517349	0.67201	0.000236269	0.0106719	0.151265	0.0989903	0.00440539	0.0153639	0.0521345	0.667169	
582000	-5227.95	0.93549	0.00557858	0.00634603	0.0067059	0.0385454	0.0027314	0.00460295	0.0244924	0.852079	0.069909	0.0215078	0.000935744	0.0256056	0.00547044	0.000890406	0.00646815	0.8787	0.00878296	0.0376989	0.028659	0.0388001	0.0538003	0.175968	0.0815545	0.677358	0.000662344	0.00134483	0.0093122	0.207146	0.0519511	0.0178602	0.0170822	0.673061	0.00268227	0.030217	0.0690151	0.0786887	0.0725407	0.0425089	0.0145324	0.706216	0.0164983	0.000920685	0.12507	0.106171	0.0653287	0.0183128	0.00584007	0.678357	
584000	-5234.05	0.883089	0.0365213	0.0157565	0.0212603	0.0362442	0.00337909	0.00374984	0.00371799	0.849858	0.00507771	0.118044	0.000935744	0.000597922	0.0217692	0.0137388	0.00646815	0.839133	0.0614134	0.00241356	0.0414054	0.0354279	0.0206513	0.175968	0.0708942	0.697972	0.0205733	0.0079466	0.00599422	0.189409	0.0660719	0.0213599	0.00460385	0.677952	0.0147582	0.0258451	0.000523038	0.132844	0.0527059	0.0510156	0.0211058	0.7235	0.0183052	0.00212083	0.164408	0.0651879	0.0244736	0.00713859	0.0377206	0.698951	
586000	-5203.19	0.941043	0.0310594	0.000103156	0.00513219	0.00799967	0.0128219	0.00184097	0.00202457	0.836164	0.0642922	0.0710686	0.00729696	0.0108327	0.00832069	0.000526868	0.0189804	0.906312	0.00161146	0.00763164	0.0463811	0.0185561	0.0548973	0.208098	0.0307645	0.673456	0.00394639	0.0228759	0.00596206	0.16559	0.0340105	0.0580517	0.00180897	0.700868	0.0392315	0.000439408	0.000557356	0.149543	0.0378716	0.027892	0.00497272	0.706061	0.073103	0.0335953	0.128043	0.0629064	0.0129143	0.0138272	0.0605162	0.688198	
588000	-5197.89	0.967526	0.000819186	0.00827034	0.00513219	0.00977825	0.00815466	0.000319149	0.0381677	0.842142	0.0309187	0.0569924	0.00644321	0.0191672	0.00616887	0.0100417	0.00672922	0.912055	0.00290106	0.00763164	0.0117559	0.0488852	0.0335715	0.179883	0.0838973	0.677489	0.00671986	0.00604709	0.0123922	0.164503	0.0583274	0.0479698	0.00957415	0.670559	0.046417	0.00264921	0.000844137	0.0318719	0.101378	0.0969027	0.0493915	0.718886	0.000726307	0.0101166	0.172107	0.0490667	0.0437343	0.0246297	0.0260888	0.674257	
590000	-5183.31	0.870301	0.00148535	0.0528992	0.00269477	0.0236061	0.00383435	0.0451791	0.0111316	0.891724	0.0108095	0.0662649	0.00667489	0.00140429	0.011991	0.00507188	0.0435431	0.855812	0.013933	0.0124843	0.00357393	0.065582	0.0155796	0.192352	0.0941371	0.679415	0.0012263	0.01687	0.000420056	0.186045	0.00995519	0.0138138	0.0180993	0.687701	0.0540096	0.0303765	0.0177223	0.0788588	0.000958202	0.0283101	0.0293747	0.836151	0.00862533	0.0205969	0.140887	0.0345449	0.0588775	0.00951319	0.0627821	0.672798	
